subject;chapter;subchapter;question;options;correct_answer
"JavaScript";"Data Structures and Objects";"Objects Creating Objects Object Properties and Methods Object Constructors and Prototypes";"Which method is used to set the prototype of an object in JavaScript?";""A) setPrototype()"; "B) __proto__"; "C) Object.prototype()"; "D) Object.setPrototypeOf()"";"D) Object.setPrototypeOf()"
"JavaScript";"Data Structures and Objects";"Objects Creating Objects Object Properties and Methods Object Constructors and Prototypes";"What is the output of the following code ?

```javascript
let myObject = {
    x: 10,
    y: 20
};

let protoObject = Object.getPrototypeOf(myObject);

console.log(protoObject === Object.prototype);
```";""A) true"; "B) false"; "C) TypeError"; "D) undefined"";"A) true"
"JavaScript";"Data Structures and Objects";"Objects Creating Objects Object Properties and Methods Object Constructors and Prototypes";"How can you determine the number of properties in an object?";""A) Using the countProperties() method"; "B) Using the Object.keys() method and checking its length"; "C) Using the getPropertiesCount() function"; "D) It is not possible to determine the number of properties in an object"";"B) Using the Object.keys() method and checking its length"
"JavaScript";"Data Structures and Objects";"Objects Creating Objects Object Properties and Methods Object Constructors and Prototypes";"Consider the following code 
```javascript
function Animal() {
    this.sound = 'undefined';
}

Animal.prototype.makeSound = function() {
    return `The animal makes a ${this.sound} sound.`;
};

function Dog() {
    this.sound = 'bark';
}

Dog.prototype = Object.create(Animal.prototype);

let myDog = new Dog();
console.log(myDog.makeSound());
```
What will be printed to the console?";""A) The animal makes a undefined sound."; "B) The animal makes a bark sound."; "C) ReferenceError"; "D) TypeError"";"B) The animal makes a bark sound."
"JavaScript";"Data Structures and Objects";"Objects Creating Objects Object Properties and Methods Object Constructors and Prototypes";"Which method is used to check if a property is enumerable in JavaScript?";""A) isEnumerable()"; "B) propertyIsEnumerable()"; "C) enumerate()"; "D) hasProperty()"";"B) propertyIsEnumerable()"
"JavaScript";"Data Structures and Objects";"Objects Creating Objects Object Properties and Methods Object Constructors and Prototypes";"What is the output of the following code ?

```javascript
let obj1 = { a: 1, b: 2 };
let obj2 = Object.create(obj1);

console.log(obj2.a);
```";""A) 1"; "B) 2"; "C) undefined"; "D) TypeError"";"A) 1"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"What does JSON stand for?";""A) JavaScript Object Notation"; "B) JavaScript Output Notation"; "C) Java Serialized Object Notation"; "D) JavaScript Ordered Notation"";"A) JavaScript Object Notation"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"Which data types can be represented in JSON?";""A) String, Number, Boolean, Object, Array, Null"; "B) String, Integer, Float, Object, Array, Undefined"; "C) String, Number, Boolean, Object, List, Null"; "D) String, Integer, Boolean, Dictionary, Array, Null"";"A) String, Number, Boolean, Object, Array, Null"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"In JSON, how is an object denoted?";""A) Curly braces {}"; "B) Square brackets []"; "C) Quotation marks """""; "D) Parentheses ()"";"A) Curly braces {}"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"Which of the following is a valid JSON string?";""A) {""name"": ""John"", 'age': 30}"; "B) {'name': ""John"", ""age"": 30}"; "C) {""name"": 'John', ""age"": 30}"; "D) {'name': 'John', 'age': 30}"";"C) {""name"": 'John', ""age"": 30}"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"What does JSON.parse() do in JavaScript?";""A) Converts a JSON string to a JavaScript object"; "B) Converts a JavaScript object to a JSON string"; "C) Converts a JavaScript array to a JSON object"; "D) Converts a JSON object to a JavaScript array"";"A) Converts a JSON string to a JavaScript object"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"Which method is used to convert a JavaScript object to a JSON string?";""A) JSON.stringify()"; "B) JSON.parse()"; "C) JSON.encode()"; "D) JSON.serialize()"";"A) JSON.stringify()"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"Which of the following is a valid JSON array?";""A) [1, 2, 3, ""hello""]"; "B) {1, 2, 3, ""hello""}"; "C) (1, 2, 3, ""hello"")"; "D) {1: 1, 2: 2, 3: 3, ""hello"": ""world""}"";"A) [1, 2, 3, ""hello""]"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"What happens if you try to JSON.parse() an invalid JSON string?";""A) It throws a syntax error"; "B) It returns null"; "C) It returns an empty object"; "D) It converts the string to a JavaScript object"";"A) It throws a syntax error"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"Which of the following is a valid JSON value?";""A) Infinity"; "B) NaN"; "C) null"; "D) undefined"";"C) null"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"In JSON, how is a string value denoted?";""A) Enclosed in double quotes """""; "B) Enclosed in single quotes ''"; "C) Without any quotes"; "D) Enclosed in backticks ``"";"A) Enclosed in double quotes """""
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"What is the purpose of JSON.stringify()'s second argument (replacer function)?";""A) It allows you to specify which properties to include in the resulting JSON string"; "B) It specifies the number of spaces for indentation"; "C) It converts special characters to escape sequences"; "D) It converts the JSON string to a JavaScript object"";"A) It allows you to specify which properties to include in the resulting JSON string"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"Which of the following is a valid JSON representation of a date?";""""2023-09-13T12:00:00Z"""; "2023-09-13 12:00:00"; "2023-09-13T12:00:00+00:00"; """13th September 2023"""";"""2023-09-13T12:00:00Z"""
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"What is the result of parsing the following JSON string: '{""name"": ""John"", ""age"": 30}'?";""A) An object with properties name and age"; "B) A string"; "C) An array"; "D) An error is thrown"";"A) An object with properties name and age"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"Which of the following statements is true about JSON?";""A) JSON supports comments"; "B) JSON keys must be unique within an object"; "C) JSON can represent functions"; "D) JSON supports complex data structures like graphs"";"B) JSON keys must be unique within an object"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"How do you access a value inside a nested object in JavaScript?";""A) Using dot notation (.)"; "B) Using square bracket notation ([])"; "C) Using curly braces {}"; "D) Using parentheses ()"";"A) Using dot notation (.)"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"Which of the following is an example of valid JSON syntax?";""A) {name: ""John"", age: 30}"; "B) {""name"": 'John', 'age': 30}"; "C) {""name"": ""John"", ""age"": 30}"; "D) {name = ""John"", age = 30}"";"C) {""name"": ""John"", ""age"": 30}"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"What is the result of JSON.stringify([1, undefined, 3])?";""A) ""[1, undefined, 3]"""; "B) ""[1, null, 3]"""; "C) ""[1, 3]"""; "D) ""[1, 'undefined', 3]"""";"C) ""[1, 3]"""
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"Which of the following is a valid JSON number?";""A) 3.14e2"; "B) 0x10"; "C) '42'"; "D) ""forty-two"""";"A) 3.14e2"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"What is the result of JSON.stringify(true)?";""A) ""true"""; "B) true"; "C) ""True"""; "D) 1"";"A) ""true"""
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"How can you represent a null value in JSON?";""A) null"; "B) undefined"; "C) ""null"""; "D) 'null'"";"A) null"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"Which of the following is a valid JSON comment?";""A) // This is a comment"; "B) /* This is a comment */"; "C) <!-- This is a comment -->"; "D) 'This is a comment'"";"B) /* This is a comment */"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"What does JSON.stringify() do if it encounters a circular reference in the object?";""A) Throws an error"; "B) Ignores the circular reference"; "C) Converts the circular reference to null"; "D) Converts the circular reference to a string"";"A) Throws an error"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"Which of the following is a valid JSON string representing an empty object?";""A) ""{}"""; "B) ""[]"""; "C) ""null"""; "D) ""undefined"""";"A) ""{}"""
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"How do you access the first element of a JSON array in JavaScript?";""A) arr[0]"; "B) arr.first"; "C) arr[1]"; "D) arr.first()"";"A) arr[0]"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"What is the result of JSON.parse('null')?";""A) null"; "B) ""null"""; "C) undefined"; "D) Throws an error"";"A) null"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"Which method is used to check if a property exists in a JavaScript object?";""A) hasOwnProperty()"; "B) propertyExists()"; "C) isPropertyPresent()"; "D) containsProperty()"";"A) hasOwnProperty()"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"Which of the following is a valid JSON representation of a function?";""A) JSON doesn't support functions"; "B) {""func"": function() { return 42; }}"; "C) {""func"": ""function() { return 42; }""}"; "D) {""func"": () => 42}"";"A) JSON doesn't support functions"
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"What is the result of JSON.parse('{""key"": ""value""}')?";""A) An object with property ""key"" and value ""value"""; "B) A string"; "C) An array"; "D) An error is thrown"";"A) An object with property ""key"" and value ""value"""
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"Which of the following is a valid JSON representation of a multiline string?";""A) JSON doesn't support multiline strings"; "B) ""First line \n Second line"""; "C) ""First line \n Second line"""; "D) ""First line \ Second line"""";"B) ""First line \n Second line"""
"JavaScript";"Data Structures and Objects";"JSON (JavaScript Object Notation) Syntax and Structure Parsing and Stringifying JSON";"What is the result of JSON.stringify(NaN)?";""A) Throws an error"; "B) ""NaN"""; "C) null"; "D) undefined"";"B) ""NaN"""
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"What does DOM stand for?";""A) Document Object Model"; "B) Document Orientation Model"; "C) Dynamic Object Manipulation"; "D) Document Order Model"";"A) Document Object Model"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"Which programming language is commonly used to interact with the DOM?";""A) Java"; "B) JavaScript"; "C) Python"; "D) C++"";"B) JavaScript"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"In which format is the DOM represented?";""A) HTML"; "B) JSON"; "C) XML"; "D) TXT"";"C) XML"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"What does the DOM provide a structured representation of?";""A) The web page's content"; "B) The web page's design"; "C) The web browser's settings"; "D) The web server's data"";"A) The web page's content"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"How can you access an element with the ID 'myElement' using JavaScript?";""A) document.getElement('myElement')"; "B) document.querySelector('#myElement')"; "C) document.getElementById('myElement')"; "D) document.selectElement('#myElement')"";"C) document.getElementById('myElement')"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"Which method is used to select multiple elements with the same class?";""A) querySelectorAll"; "B) getElementsByClassName"; "C) querySelector"; "D) getElementById"";"B) getElementsByClassName"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"What does the textContent property allow you to do?";""A) Modify the text content of an element"; "B) Access the parent element"; "C) Change the font size of an element"; "D) Retrieve the inner HTML of an element"";"A) Modify the text content of an element"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"Which of the following methods is used to create a new HTML element?";""A) createElement"; "B) newElement"; "C) makeElement"; "D) createNode"";"A) createElement"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"How do you append a child element to a parent element using JavaScript?";""A) appendChild"; "B) insertElement"; "C) addNode"; "D) appendNode"";"A) appendChild"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"Which property is used to check if an element has a specific class?";""A) hasClass"; "B) classList"; "C) hasClassName"; "D) classListContains"";"B) classList"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"What is the result of document.body.nodeName?";""A) BODY"; "B) HTML"; "C) DOCUMENT"; "D) NODE"";"A) BODY"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"How can you check if an element contains a specific child element?";""A) element.contains(childElement)"; "B) element.includes(childElement)"; "C) element.hasChild(childElement)"; "D) element.containsChild(childElement)"";"A) element.contains(childElement)"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"Which property is used to get the value of an input element?";""A) value"; "B) nodeValue"; "C) textContent"; "D) innerText"";"A) value"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"What does the querySelector method return?";""A) The first element that matches a specified CSS selector"; "B) All elements that match a specified CSS selector"; "C) The parent element of the specified element"; "D) The last element that matches a specified CSS selector"";"A) The first element that matches a specified CSS selector"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"How can you change the CSS style of an element using JavaScript?";""A) element.style.cssText"; "B) element.css"; "C) element.styles"; "D) element.style"";"D) element.style"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"Which method is used to remove an element from the DOM?";""A) element.removeChild()"; "B) element.remove()"; "C) element.delete()"; "D) element.hide()"";"B) element.remove()"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"What is the result of document.title?";""A) The title of the web page"; "B) The URL of the web page"; "C) The content of the first heading element"; "D) The name of the document file"";"A) The title of the web page"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"How can you set the attribute 'src' of an image element using JavaScript?";""A) element.setAttribute('src', 'newSource.jpg')"; "B) element.src = 'newSource.jpg'"; "C) element.srcAttribute('newSource.jpg')"; "D) element.setSource('newSource.jpg')"";"B) element.src = 'newSource.jpg'"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"What does the innerHTML property allow you to do?";""A) Modify the HTML content of an element"; "B) Access the inner text content of an element"; "C) Retrieve the outer HTML of an element"; "D) Change the font size of an element"";"A) Modify the HTML content of an element"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"How can you prevent the default behavior of an event in JavaScript?";""A) event.preventDefault()"; "B) event.stopPropagation()"; "C) event.cancelEvent()"; "D) event.pauseEvent()"";"A) event.preventDefault()"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"Which method is used to add an event listener to an element in JavaScript?";""A) addEventListener"; "B) attachEvent"; "C) addEvent"; "D) setEventListener"";"A) addEventListener"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"What is the result of event.target in an event handler function?";""A) The element that triggered the event"; "B) The parent element of the event target"; "C) The document object"; "D) The window object"";"A) The element that triggered the event"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"How can you check if a checkbox input is checked using JavaScript?";""A) checkboxInput.checked"; "B) checkboxInput.isChecked"; "C) checkboxInput.ischecked"; "D) checkboxInput.isSelected"";"A) checkboxInput.checked"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"Which property is used to access the value of a selected option in a dropdown menu?";""A) selectedOption.value"; "B) dropdownMenu.selectedValue"; "C) dropdownMenu.value"; "D) selectedOption.text"";"C) dropdownMenu.value"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"How can you dynamically create a new option in a dropdown menu using JavaScript?";""A) document.createElement('option')"; "B) document.createOption('option')"; "C) document.addOption('option')"; "D) document.appendOption('option')"";"A) document.createElement('option')"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"What does the parentNode property allow you to access?";""A) The parent element of the current element"; "B) The child elements of the current element"; "C) The sibling elements of the current element"; "D) The next element in the DOM"";"A) The parent element of the current element"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"How can you check if an element has a specific attribute using JavaScript?";""A) element.hasAttribute('attribute')"; "B) element.attributeExists('attribute')"; "C) element.containsAttribute('attribute')"; "D) element.checkAttribute('attribute')"";"A) element.hasAttribute('attribute')"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"Which property is used to get the number of child elements of an element?";""A) childCount"; "B) childElements"; "C) children"; "D) childElementCount"";"D) childElementCount"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"How can you change the text color of an element using JavaScript?";""A) element.textColor"; "B) element.color"; "C) element.style.color"; "D) element.textStyle.color"";"C) element.style.color"
"JavaScript";"DOM Manipulation and Events";"Introduction to the DOM (Document Object Model) What is the DOM?Accessing DOM Elements";"How can you remove a specific class from an element using JavaScript?";""A) element.removeClass('className')"; "B) element.classList.remove('className')"; "C) element.remove('className')"; "D) element.removeClassName('className')"";"B) element.classList.remove('className')"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"What is the purpose of an event listener in JavaScript?";""A) To trigger an event"; "B) To respond to an event"; "C) To prevent an event"; "D) To create an event"";"B) To respond to an event"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"Which of the following is an example of an event type in JavaScript?";""A) click"; "B) function"; "C) variable"; "D) loop"";"A) click"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"Which method is used to stop the propagation of an event in JavaScript?";""A) stopEvent()"; "B) stopPropagation()"; "C) preventDefault()"; "D) cancelEvent()"";"B) stopPropagation()"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"Which event type is triggered when a form is submitted?";""A) submit"; "B) click"; "C) keyup"; "D) change"";"A) submit"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"In JavaScript, which event type is triggered when a key on the keyboard is released?";""A) keydown"; "B) keyup"; "C) keypress"; "D) keystroke"";"B) keyup"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"What is the result of event bubbling in JavaScript?";""A) The event propagates from the target element to its ancestors"; "B) The event propagates from the ancestors to the target element"; "C) The event is canceled"; "D) The event is ignored"";"A) The event propagates from the target element to its ancestors"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"Which method can be used to prevent the default behavior of an event in JavaScript?";""A) preventDefault()"; "B) stopPropagation()"; "C) cancelEvent()"; "D) defaultPrevented()"";"A) preventDefault()"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"What is the correct way to attach an event listener to an element with the id 'myButton' in JavaScript?";""A) document.getElement('myButton').addEventListener('click', myFunction);"; "B) document.getElementById('myButton').addEventListener('click', myFunction);"; "C) document.selectElement('myButton').addEventListener('click', myFunction);"; "D) document.querySelector('#myButton').addEventListener('click', myFunction);"";"B) document.getElementById('myButton').addEventListener('click', myFunction);"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"Which event type is triggered when a user hovers over an element in JavaScript?";""A) hover"; "B) mouseover"; "C) mouseenter"; "D) onhover"";"B) mouseover"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"What does the event.target property refer to in JavaScript?";""A) The element that triggered the event"; "B) The parent element of the target element"; "C) The last clicked element"; "D) The event itself"";"A) The element that triggered the event"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"Which event type is triggered when an element loses focus in JavaScript?";""A) blur"; "B) focus"; "C) focusout"; "D) losefocus"";"A) blur"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"What is the purpose of using event delegation in JavaScript?";""A) To manually trigger events"; "B) To handle events on dynamically created elements"; "C) To prevent event propagation"; "D) To remove event listeners"";"B) To handle events on dynamically created elements"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"In JavaScript, which method is used to remove an event listener?";""A) removeEventListener()"; "B) deleteEventListener()"; "C) detachEventListener()"; "D) unbindEventListener()"";"A) removeEventListener()"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"Which event type is triggered when the user scrolls an element in JavaScript?";""A) scroll"; "B) scrolltop"; "C) scrolldown"; "D) onscroll"";"A) scroll"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"What is the result of event capturing in JavaScript?";""A) The event propagates from the target element to its ancestors"; "B) The event propagates from the ancestors to the target element"; "C) The event is canceled"; "D) The event is ignored"";"B) The event propagates from the ancestors to the target element"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"Which event type is triggered when the value of an input field changes in JavaScript?";""A) change"; "B) input"; "C) valuechange"; "D) update"";"B) input"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"How can you prevent an event from bubbling up the DOM tree in JavaScript?";""A) Using stopPropagation()"; "B) Using preventDefault()"; "C) Using cancelEvent()"; "D) Using stopEvent()"";"A) Using stopPropagation()"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"Which event type is triggered when the user double-clicks an element in JavaScript?";""A) doubleclick"; "B) click"; "C) dblclick"; "D) ondblclick"";"C) dblclick"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"What is the purpose of using event.preventDefault() in JavaScript?";""A) To stop an event from propagating"; "B) To cancel the default behavior of an event"; "C) To remove an event listener"; "D) To trigger an event"";"B) To cancel the default behavior of an event"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"Which event type is triggered when the user presses a key on the keyboard in JavaScript?";""A) keypress"; "B) keydown"; "C) keyup"; "D) presskey"";"B) keydown"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"How can you add an event listener to multiple elements with the class 'myElement' in JavaScript?";""A) document.getElements('.myElement').addEventListener('click', myFunction);"; "B) document.querySelector('.myElement').addEventListener('click', myFunction);"; "C) document.getElementsByClassName('myElement').addEventListener('click', myFunction);"; "D) document.querySelectorAll('.myElement').forEach(el => el.addEventListener('click', myFunction));"";"D) document.querySelectorAll('.myElement').forEach(el => el.addEventListener('click', myFunction));"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"Which event type is triggered when an element gains focus in JavaScript?";""A) focus"; "B) blur"; "C) focusin"; "D) gainfocus"";"A) focus"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"What is the purpose of using event.stopPropagation() in JavaScript?";""A) To stop an event from propagating"; "B) To cancel the default behavior of an event"; "C) To remove an event listener"; "D) To trigger an event"";"A) To stop an event from propagating"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"Which event type is triggered when the user right-clicks an element in JavaScript?";""A) rightclick"; "B) contextmenu"; "C) click"; "D) oncontextmenu"";"B) contextmenu"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"How can you prevent a form from being submitted in JavaScript?";""A) Using stopPropagation()"; "B) Using preventDefault()"; "C) Using cancelEvent()"; "D) Using stopEvent()"";"B) Using preventDefault()"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"In JavaScript, which method is used to trigger an event manually?";""A) triggerEvent()"; "B) dispatchEvent()"; "C) fireEvent()"; "D) emitEvent()"";"B) dispatchEvent()"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"What is the correct syntax to attach an event listener to an element with the class 'myElement' in JavaScript?";""A) document.getElement('.myElement').addEventListener('click', myFunction);"; "B) document.querySelector('.myElement').addEventListener('click', myFunction);"; "C) document.getElementsByClassName('myElement').addEventListener('click', myFunction);"; "D) document.querySelectorAll('.myElement').forEach(el => el.addEventListener('click', myFunction));"";"B) document.querySelector('.myElement').addEventListener('click', myFunction);"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"Which event type is triggered when the user presses and releases a key on the keyboard in JavaScript?";""A) keypress"; "B) keyup"; "C) keydown"; "D) presskey"";"A) keypress"
"JavaScript";"DOM Manipulation and Events";"Event Handling Event Listeners Event Types (click, submit, keyup, etc.) Event Propagation";"What is the purpose of using event.stopPropagation() and event.preventDefault() together in JavaScript?";""A) To stop an event from propagating and cancel its default behavior"; "B) To trigger an event manually"; "C) To remove an event listener"; "D) To select an element"";"A) To stop an event from propagating and cancel its default behavior"
